NODR30A,ALCTRY,ALCREC,IRALCFY,ALCYDAYS,TOTDRINK,IRSEX,AGE_YRS,BOOKED
6,13,1,156,4,156,1,22,2
3,13,1,24,2,24,1,20,2
10,12,1,156,4,156,1,21,1
2,15,1,120,4,120,1,65,2
2,18,1,20,2,20,2,35,2
6,17,1,72,3,72,2,24,2
7,16,1,260,4,260,1,24,1
1,12,1,192,4,192,1,14,2
3,17,1,120,4,120,2,24,2
5,16,1,3,1,52,1,16,2
3,12,1,60,3,60,1,19,1
2,9,1,10,1,10,1,14,2
9,16,1,72,3,72,2,18,2
2,14,1,156,4,156,2,20,1
2,14,1,208,4,208,1,35,1
2,14,1,72,3,72,1,35,2
3,16,1,104,4,104,2,20,1
4,11,1,312,5,312,1,19,1
4,13,1,52,3,52,1,50,2
3,17,1,24,2,24,1,21,2
6,14,1,104,4,104,1,18,2
1,21,1,2,1,2,2,24,2
1,16,1,5,1,5,1,30,1
5,17,1,208,4,208,1,50,2
6,16,1,208,4,208,1,24,2
8,15,1,208,4,208,1,22,1
2,16,1,36,2,36,1,24,2
3,13,1,12,2,12,2,17,2
3,17,1,24,2,24,2,24,1
1,19,1,36,2,36,1,50,1
2,14,1,104,4,104,2,26,2
1,14,1,208,4,208,1,26,2
4,16,1,364,5,364,1,30,2
1,16,1,52,3,52,1,20,2
1,19,1,24,2,24,2,35,2
3,13,1,52,3,52,1,16,2
2,13,1,52,3,52,2,19,2
2,13,1,48,2,48,2,22,2
1,19,1,52,3,52,2,21,1
2,12,1,36,2,36,2,14,2
8,17,1,36,2,36,1,18,1
6,18,1,52,3,52,1,24,2
3,15,1,52,3,52,2,21,1
3,16,1,156,4,156,1,22,2
2,17,1,208,4,208,1,35,2
6,13,1,52,3,52,2,16,2
3,16,1,72,3,72,2,24,1
3,10,1,10,1,10,1,30,1
5,10,1,260,4,260,1,22,1
2,12,1,208,4,208,2,26,2
6,14,1,3,1,3,2,15,2
2,18,1,33,2,48,1,18,2
1,19,1,1,1,1,1,50,2
2,14,1,5,1,5,2,35,2
5,16,1,36,2,36,1,24,1
3,12,1,60,3,60,2,22,2
1,18,1,260,4,260,1,65,1
40,12,1,156,4,156,2,17,1
5,18,1,36,2,36,2,21,2
4,16,1,104,4,104,1,21,2
5,17,1,104,4,104,1,20,2
1,15,1,12,2,12,1,26,2
2,18,1,24,2,24,2,20,2
9,15,1,52,3,52,2,20,2
2,12,1,156,4,156,1,21,2
5,17,1,260,4,260,1,22,2
2,15,1,2,1,2,2,16,2
5,14,1,52,3,52,2,17,2
3,21,1,144,4,144,1,35,1
1,10,1,312,5,312,1,50,2
1,13,1,156,4,156,2,35,2
2,19,1,20,2,20,1,35,2
5,16,1,36,2,36,2,26,2
2,20,1,6,1,6,2,24,2
2,14,1,7,1,7,1,19,2
5,18,1,5,1,5,1,20,2
6,21,1,52,3,52,2,24,2
8,15,1,208,4,208,2,19,1
4,20,1,60,3,60,2,21,2
4,17,1,104,4,104,1,24,2
10,12,1,104,4,104,1,24,2
3,18,1,260,4,260,1,24,2
2,14,1,2,1,2,1,16,2
2,16,1,358,5,364,2,22,2
14,5,1,312,5,312,1,30,1
1,16,1,15,2,15,1,20,2
3,17,1,52,3,52,1,35,2
2,15,1,120,4,120,2,50,2
2,18,1,10,1,10,2,22,2
2,17,1,208,4,208,1,35,2
5,18,1,208,4,208,1,24,2
8,16,1,104,4,104,1,19,2
1,16,1,240,4,240,1,35,1
4,15,1,24,2,24,2,24,2
10,17,1,96,3,96,1,35,1
1,14,1,156,4,156,1,26,1
9,17,1,24,2,24,2,22,2
3,17,1,60,3,60,2,22,2
6,10,1,13,2,13,1,16,2
1,15,1,104,4,104,2,30,2
7,15,1,180,4,180,1,17,2
1,13,1,1,1,1,1,35,1
3,16,1,30,2,30,1,16,1
2,18,1,24,2,24,2,21,2
12,18,1,156,4,156,1,22,1
2,15,1,156,4,156,2,35,2
6,14,1,30,2,30,2,18,2
1,20,1,52,3,52,2,24,2
1,20,1,345,5,360,2,35,2
6,12,1,156,4,156,2,22,1
15,16,1,36,2,36,1,20,2
2,14,1,52,3,52,2,17,2
8,12,1,36,2,36,2,22,2
4,17,1,36,2,36,2,22,2
3,25,1,104,4,104,2,26,2
15,17,1,24,2,24,1,22,2
4,13,1,96,3,96,2,35,1
2,18,1,104,4,104,2,35,2
2,34,1,120,4,120,2,50,2
3,21,1,52,3,52,2,30,2
6,15,1,208,4,208,1,24,1
1,21,1,104,4,104,2,35,2
7,8,1,120,4,120,2,15,2
5,16,1,208,4,208,2,22,1
2,13,1,260,4,260,1,22,1
3,11,1,6,1,6,2,24,2
1,6,1,36,2,36,1,16,2
2,18,1,300,5,300,2,35,2
3,15,1,75,3,75,1,24,2
9,15,1,156,4,156,1,18,1
5,17,1,52,3,52,1,21,2
3,19,1,1,1,1,2,20,2
3,6,1,20,2,20,2,15,2
6,16,1,24,2,24,1,21,1
2,12,1,312,5,312,2,50,2
5,14,1,6,1,6,2,19,1
2,15,1,104,4,104,1,35,1
5,15,1,240,4,240,1,24,1
3,16,1,104,4,104,2,18,2
2,18,1,2,1,2,2,18,2
2,18,1,72,3,72,2,24,2
2,16,1,208,4,208,1,35,2
10,15,1,208,4,208,1,21,1
1,21,1,60,3,60,2,65,2
